sentence,term,category,polarity
개인시간 존중 및 보장 팀 분위기로부터 덕을 많이 봄 좋은 사람이 많은 조직,분위기,사내문화,positive
일했던 기간동안은 딱히.. 받는 돈보다 하는 일이 많다 느낀 정도,돈,급여,negative
자유로운 휴가 사용과 좋은게 좋은거라는 문화가 적당한 직장생활에 적합합니다.,휴가,복지,positive
부모님까지 보험되어 좋음,보험,복지,positive
페이가 벼락거지 됨 아무리 이익이 잘나도 인샌이나 연봉협상 기대하면 나만 손해..,연봉,급여,negative
팀바팀이지만 팀원분들은 참 좋았어요,팀원,사내문화,positive
"스타트업 출신이라 그런지 사옥도 크고 셔틀버스도 있는게 너무 좋았습니다! 조직장, 바디분들 좋으셨고, 신경 많이 써주셨어요",셔틀버스,복지,positive
"다만 체계도 없고 정해진 일방식도 없고 주니어가 살아남기 좀 힘든거 같아요 차라리 스타텁이면 혼자 이거저거 다 하면서 살아남을텐데 이건 업무 단위는 큰데 아무도 안내도 안해주고, 누구한테 뭘 물어야하는지도 감이 안오고… 아무래도 주니어를 키워본 적이 없는 회사라 그런걸 잘 못하는거 같긴하지만 좀 신경써주셨으면 좋겠습니다 버디분, 팀원분 개인 역량에 기대하기엔 개인차가 심할거같아요.",체계,업무,negative
같이 일하는 팀원들이 참 좋았습니다 꼭 우리팀뿐 아니라 다른 팀에도 본받을 만하고 자극이 되는 크루가 많다고 생각합니다,팀,사내문화,positive
최근들어 경영진의 방향성이 일관성이 다소 떨어지고 전체적으로 신뢰 및 통솔력을 잃어가는 느낌입니다,경영진,사내문화,negative
근무시간을 자율로 조정할 수 있음,근무시간,복지,positive
성장가능성 모르겠음,성장가능성,커리어,negative
워라벨 하나는 끝내주는 것 같음 워라벨이 지켜지려면 사실 모든 구성원이 지켜가는 문화가 되어야 하는데 정착이 되어있는 듯함 제도적으로도 그부분을 지켜가려는 점에 매우 만족,워라벨,업무,positive
"주도적으로 일하려는 선한 사람들 많고, 업무에 집중 할 수 있게 해주는 업무 지원도 잘 되는 것 같음.",업무,업무,positive
개인으로 보았을 때는 보상의 아쉬움,보상,급여,negative
"조직으로 보았을 때는 카무원 너무 많음 특히, 다닌지 오래된 고인물일 수록 카무원이 많은 듯 하고, 열심히 일할 의지 자체가 없어서 같이 일 안하고 싶음",카무원,사내문화,negative
"가장 좋은 점은 연차가 높지 않음에도 의견을 내고 오너십을 가지고 프로젝트를 드라이브 할수 있다는 점이에요 이전 회사들에서는 조직장의 생각을 알아채기 위해 노력했다면, 여기에선 진짜 제 의견을 내고 생간한대로 실현해볼 수 있어 좋아요.",의견,사내문화,positive
분명 좋은 문화의 흔적들이 있는데...많이 약해져 있는 느낌이에요.,문화,사내문화,negative
워라밸은 경험했던 타사 대비 좋음,워라밸,업무,positive
"조직마다 다르지만 근무시간 설정, 휴가 사용이 비교적 자유로움",휴가,복지,positive
성장의 기회가 열려있고 누구든지 도전할 수 있다고 하지만 현실적으로는 본인에게 주어진 업무 범위 등 여러제약이 있어 셀프 동기부여하며 성장하기는 쉽지 않음 조직 차원의 배려나 가이드는 없어 저연차 경력 또는 신입에게는 좋지 않음,성장,커리어,negative
수평적을 지향하지만 결국 수직적임 그래서 결론은 정해져 있는데 보여주기식 의견수렴 과정으로 인한 처리만 지연되거나 의사결정을 밑으로 내리는 경우가 있음,수직,사내문화,negative
업무강도가 높지 않고 개발자가 하고 싶은것을 할 수있다는 것,업무,업무,positive
비슷한 급의 다른 회사에 비해서는 떨어지는 급여 및 복지,급여,급여,negative
비슷한 급의 다른 회사에 비해서는 떨어지는 급여 및 복지,복지,복지,negative
사람이 뻔뻔해진다 수평적인척 하는 그 문화를 악용하는 사람이 많다,문화,사내문화,negative
대체적으로 워라밸은 만족스러움,워라밸,업무,positive
팀바팀 사바사가 심하지만 전반적으로 팀원들은 좋다,팀원,사내문화,positive
처우나 복지가 요즘 트렌드에 비해 매우 부족 초과근무에 대해서도 위에서 부정적으로 보기 때문에 실제 업무량에 비해 적게 기록하는 경우가 많음,복지,복지,negative
좋은 직원들이 많습니다 문제는 그렇지 않은 사람들도 많기 때문에 힘들어요,사람,사내문화,positive
"수평적인 문화를 지향하지만 분명한 위계가 있고, 눈치를 안볼 수가 없는 곳입니다",문화,사내문화,negative
크고작은 이벤트로 항상 즐거운 분위기,분위기,사내문화,positive
함께 일하는 배울 점 많은 동료들,동료,사내문화,positive
급여가 어쩜 이렇게 짤 수 있나? 아무리 생각해도 별로다,급여,급여,negative
휴가도 자유롭고 좋음 복지가 점점 좋아짐,휴가,휴가,positive
좋은 사람들이 많음 이상한 사람은 어디나 있지만 비율이 상대적으로 낮음,사람,사내문화,positive
급여가 높은 편은 아닌 것 같음,급여,급여,negative
복지시스템 잘 되어있음,복지,복지,positive
일하는 사람만 일하고 죽어남,일,업무,negative
성공한 기업 다니고 있다는 자부심,성공,커리어,positive
복지 잘되어있음 휴양시설 대출 의료비 눈치안보고쓰는연차 완전선택적근로제도.. 뭐 다있음,복지,복지,positive
통근 버스 비싼거,통근,복지,negative
자유로운 분위기와 성장을 많이 할 수 있는 여건이 있다.,성장,커리어,positive
부서마다 상이한 업무강도와 분위기 그래도 큰 단점은 아닌듯,업무강도,업무,negative
부바부겠지만 나의 경우 필요한 업무만 하면 돼서 내 시간을 뺏기지 않음 자기계발이나 갠플 가능,자기계발,커리어,positive
비슷한 네임밸류 회사들에 비해 보상이 짜다,보상,급여,negative
워라밸 중요한 사람들에게는 괜찮은 회사일듯,워라밸,업무,negative
워라밸이 잘지켜지고 재택근무가 너무 좋다,워라밸,업무,positive
이것저것 혜택등의 복지가 많다,복지,복지,positive
재택근무라 입사초반에는 힘든감이 있다,재택근무,업무,negative
연봉이 타 대기업에 비해 낮은편이다.,연봉,급여,negative
업무 성장에 도움이 된다,성장,커리어,positive
스스로 해결해야 하는 부분들이 많다 변화가 빨라서 잡기 힘들다,해결,업무,negative
"아이스 아메리카노가 500원이다,,!",아메리카노,복지,positive
판교에 있어서 거리가 멉니다 밥도 회사 주변에서 사먹어야하고 통근버스도 예약 지원해야되고(그래도 통근버스 있는게 어디에요) 분위기가 팀바이팀이다,통근버스,복지,negative
판교에 있어서 거리가 멉니다 밥도 회사 주변에서 사먹어야하고 통근버스도 예약 지원해야되고(그래도 통근버스 있는게 어디에요) 분위기가 팀바이팀이다,밥,복지,negative
애기가 있다면 그리고 워라벨이 중요하다먼 매우 괜찮은 곳 부바부이지만 엄청 바쁜 특정 시기가 있더라도 대체로는 워라벨이 지켜진다고 생각함 그리고 야근/초과근무 수당 나옴,워라벨,업무,positive
서비스가 많고 다양하기 때문에 간접적으로 여러 지식들을 쌓을 수 있는 것도 장점이라고 생각. 그런데 기획은 굉장히 잘하고 배울만한 시니어나 장급 찾기가 너무 힘들어서 스스로 성장해야 함,지식,커리어,positive
일과 삶의 균형이 좋음,일,업무,positive
"업무/조직의 체계화 부족 조직의 성과가 개인의 역량에 기대는 것이 많은데, 이를 위한 비전의 명확성이 낮아 업무 하기 힘듬",업무,업무,negative
짜다 회사가 염전 그자체 개미들은 일 잘해도 보상은 c레벨만 두둑히 챙긴다,보상,급여,negative
보상이 적고 회사에 대한 기대치가 점점 낮아진다. 전체적 보상이 족쇄형으로 장기 근속을 유도하나 정작 떠나는 사람들이 많다,보상,급여,negative
일반적으로 수평적인 상호관계가 이뤄지고 공채 시작후 뛰어난 사람들과 젊은피가 유입되어 더욱 탄탄해지고 있음,수평,사내문화,positive
간혹 수직적인 사람과 상황이 생기는 경우도 있음,수직,사내문화,negative
업무 강도가 매우 약했음 워라밸 백퍼센트 보장 일을 많이 안하니 돈을 많이 안줘도 별로 기분이 안나쁨,업무,업무,positive
워라밸 좋고 업무 시간을 마음대로 설정할 수 있어서 좋음,워라밸,업무,positive
주변 동료들도 친절하고 모르면 잘 알려줌,동료,사내문화,positive
수평적인 문화라 하지만 업무 보고 체계는 수직적임 의견 제시도 잘 안 이루어지고 하라는 대로 해야 함 수직적 관계에 있는 사람과의 소통은 없다고 보면 됨,문화,사내문화,negative
해보고싶었던 기술도 배울 수 있고 능력있는 사람도 많아서 배울점이 많아요,기술,커리어,positive
페이는 타사에 비해 살짝 아쉬운거같고 경영진의 생각을 일부 납득하기 어려운거같다,페이,급여,negative
내가 발휘할 수 있는 능력을 좋은 환경에서 발휘할 수 있다,능력,커리어,positive
치열하게 일하는 분위기,분위기,사내문화,positive
일과 삶의 경계가 없다 모든 업무를 카톡으로 업무량이 많고 워라밸은 찾아보기힘들어요,워라밸,업무,negative
워라밸 보장,워라밸,업무,positive
출퇴근시간을 자유롭게 수정 가능,출퇴근시간,복지,positive
자유로운 분위기,분위기,사내문화,positive
코로나로 인해 길어진 재택근무로 인한 답답함이 조금 아쉽습니다,재택근무,업무,negative
능력있는 동료들이 많아 배우는 점이 많다,동료,사내문화,positive
복지가 괜찮아 워라밸이 보장된다,복지,복지,positive
연봉이 업계수준보다 낮은편,연봉,급여,negative
경영진이 직원을 생각하는 태도가 굉장히 별로라는걸 느낌,경영진,사내문화,negative
수평적인 분위기 그로 인한 자유로운 의견 내기에는 좋음,분위기,사내문화,positive
이름에 걸맞지 않은 연봉,연봉,급여,negative
본인이 직접 근무시간 입력하는 제도로 야근하면 야근하는대로 수당 다 받을 수 있음 다만 조직장한테 사전승인 받는게 원칙,수당,복지,positive
사무실 의자가 허먼밀러라서 편하다 법인카드로 한 달에 30만원씩 현금처럼 원하는 데 쓸 수 있음,의자,복지,positive
구내식당이 없음,구내식당,복지,negative
팀바팀이겠지만 동료들이 매우 좋습니다! 배울 점도 많고 화목한 느낌이 들어 좋습니다!,동료,사내문화,positive
대내외적으로 시끄러운 주변상황과 구내식당이 없는점.. 그렇게 높지 않은 월급,월급,급여,negative
대내외적으로 시끄러운 주변상황과 구내식당이 없는점.. 그렇게 높지 않은 월급,구내식당,복지,negative
상대적으로 적은 개발자 연봉,연봉,급여,negative
동호회 등 직원간 소통도 괜찮다,소통,사내문화,positive
무능하고 돈만 밝히는 임원들로 낙후되는중 임원들과 친구들이 다 해먹는중,임원,사내문화,negative
워라벨 보장,워라벨,업무,positive
"야근없고, 연차 눈치보지않고 자유롭게 쓸 수 있음",연차,복지,positive
연봉/인센 인상률 너무 낮음,연봉,급여,negative
업무 하나 진행하는데 너무 오래 걸림,업무,업무,negative
영어이름 쓰는게 무색할 정도로 수직적인 의사결정과 폐쇄적인 정보공유.,수직,사내문화,negative
"확실히 좋은 복지, 휴가 사용 눈치 없음, 업무 자유도 높음",복지,복지,positive
탑다운식 업무방법과 리더들...글쎄...원래 이미지가 진짜 좋았는데 망해가는중,업무,업무,negative
대기업 애티튜드를 갖고 싶어하는지 뭔가 복지나 처우 같은 걸 개선하려고 노력하는 것 같다,복지,복지,positive
워라밸 괜찮고 좋은 사람도 많습니다 개발에 집중할 수 있어요,워라밸,업무,positive
다양한 작업을 해 볼 수 있다는점이 장점이라면 장점일수있다,작업,커리어,positive
마이타임 제도가 좋습니다. 원하는 대로 근무시간을 조정할 수 있는 것이 큰 장점입니다. 최근에 복지도 개편되서 괜찮습니다.,근무시간,복지,positive
팀원분들도 서로가 존중하는 분위기입니다,분위기,사내문화,positive
타 it 대기업보다 살짝 보상이 아쉽다는 인식이 있습니다. 사람마다 다를 수 있습니다.,보상,급여,negative
워라밸은 대한민국 최상위권,워라밸,업무,positive
성과적인 부분에대한 확실한 보상이 있으면 더 좋지않을까,보상,급여,negative
워라밸이 너무 안좋음 (팀별로 다른듯),워라밸,업무,negative
상대적으로 민주적인 조직 문화가 아직까지는 남아 있다,문화,사내문화,positive
"인사 평가, 연봉, 인센이 랜덤임. 기준과 가이드가 없으니 모든 것이 복불복&인맥에 의존해야 함.",연봉,급여,negative
프로젝트마다 다르나 일정에 대한 압박이 매년 덜해져 가는거 같다,압박,업무,positive
주52시간제가 되면서 더욱더 야근하는일이 줄었다,야근,업무,positive
사소한 복지가 굉장히 잘 되어있다,복지,복지,positive
일하는 재미가 느껴져서 좋다,일,업무,positive
개발직군빼고 연봉이 낮으며 야근하며 일하는 경우가 다수,연봉,급여,negative
"식음료 제공, 저녁 도시락 등의 복지가 좋다.",복지,복지,positive
주니어 때 개발자로 일하는 법 배우기 딱 좋다.,배우기,커리어,positive
연봉이 짜다. 연봉이 다른 it에 비해서 짜다. 진짜 능력있는 사람들은 나가는 것 같다.,연봉,급여,negative
정말 워라밸만은 국내 최고 수준,워라밸,업무,positive
팀원 등 동료들이 정말 좋은 사람 많음,동료,사내문화,positive
업무는 탑다운이며 소통이 안됨,업무,업무,negative
"시니어분들이 경험이 많았고, 도전적인 업무도 진행할수 있었다",도전,커리어,positive
"개인주의적인 문화가 꽤나 존재했고, 타이밍이 안맞으면 자신이 원하는 업무를 진행할 수 없는 포지션에 배치됨",개인주의,사내문화,negative
월급이 동종업계 대비 짭니다,월급,급여,negative
다양한 기술을 공유하여 배움의 기회가 많다 그 정보안에서 내가 원하는 것을 찾는 것은 본인의 노력이 필요할뿐…,배움,커리어,positive
"자율출퇴근과 복지제도, 그리고 상대적으로 타 기업보다 수평적인 분위기",복지,복지,positive
"자율출퇴근과 복지제도, 그리고 상대적으로 타 기업보다 수평적인 분위기",분위기,사내문화,positive
"단, 신입이 입사하면 일하기 어려울 수 있음. 일을 가르쳐주기보다 그냥 잘 하기를 바라는 회사",일,업무,negative
카카오라는 이름과 팀원들 사람이 정말 좋았음 복지도 좋아지고 있음,팀원,사내문화,positive
카카오라는 이름과 팀원들 사람이 정말 좋았음 복지도 좋아지고 있음,복지,복지,positive
주변회사와 차이가 나는 급여와 최근 인식이 너무 안좋게 박힘,급여,급여,negative
개발자가 성장하기에 좋은환경,성장,커리어,positive
업계 보상이 점프업 하는 와중에 느껴지는 상대적 박탈감,보상,급여,negative
근무시간 자유로움 팀바팀이지만 분위기는 좋은편임 돈 욕심없으면 좋은회사,분위기,사내문화,positive
성과 보상이 너무 짜고 갈수록 직원들과 소통이 사라지고있음,보상,급여,negative
유연한 근무가 가능하고 휴가 활용도가 높고 자유롭게 쓸 수 있다.,휴가,복지,positive
보상수준이 낮고 평가체계가 잘 갖추어져있지 않아 일부 리더의사로 결정됨,보상,급여,negative
일이 많을 때는 몰려오는 경우가 있어 힘들 때가 있습니다.,일,업무,negative
워라밸은 확실하다. 출퇴근이 자유롭고 분위기도 괜찮은 편이다.,워라밸,업무,positive
"직원 복지, 급여 등 처우에 대한 부분이 많이 아쉽다.",복지,복지,negative
"직원 복지, 급여 등 처우에 대한 부분이 많이 아쉽다.",급여,급여,negative
욕심없이 할일만 하며 사는 편이라 그런지 만족하는 편 휴가 자유롭게 쓸 수 있고 재택기간 길고 큰 금액은 아니지만 베네핏 카드도 생기고 대출지원도 개선됨.,휴가,복지,positive
워라밸 좋으나 하고싶은 일을 하진 못함 IT업계의 공무원이라더니 맞는 것 같음,워라밸,업무,negative
워라벨이 좋아 자율적인 시간 활용이 가능합니다. 가정적인 삶을 살 수 있을 것 같습니다.,워라벨,업무,positive
"팀바팀이지만 좋은 팀문화, 남한테 별로신경안쓰고 업무과중없음",문화,사내문화,positive
"이래저래 시끄러움, 난 별생각없는데 주변에서 죽겠단소리하니까 괜히 분위기 흉흉",분위기,사내문화,negative
눈치 안보고 휴가 사용할 수 있고 신입부터 경력직까지 서로 존중해준다.,눈치,사내문화,positive
자유로운 만큼 내 할일은 내가 스스로 찾아야 하기에 초반에 적응이 힘든 부분이 있다,적응,업무,negative
성장 알아서하기 회사도 동료도 딱히 챙겨주지 않음,성장,커리어,negative
회사의 장점은 아니고 구성원들이 대체적으로 좋음 수평문화와 개인의 의사존중이 잘되는 편,문화,사내문화,positive
평가가 좋아도 보상이 별 차이가 없음 회사의 관심도가 낮은 서비스에 있다간 그냥 도태되기 십상,보상,급여,negative
주변에 잘하는 개발자들이 있어서 어떤걸 더 공부해야하고 배워야하는지 알기 쉽다,공부,커리어,positive
사내 동아리 같은 활동도 그렇게 활발하지 않고 지원도 별로다.,지원,복지,negative
유연근무제 출퇴근 시간을 자유롭게 정할 수 있습니다,출퇴근,복지,positive
커리어를 체계적으로 성장시킬 수 있는 교육환경은 부재합니다.,커리어,커리어,negative
체계가 없고 스스로 알아서 해야하는 일이 많은 회사,체계,업무,positive
많은 부분이 운에 좌우되고 제멋대로이고 중간이 없다. 회사에서의 나의 위치와 미래에 대해 항상고민하게 만든다,미래,커리어,negative
주변 사람들에게 배울 수 있는게 많다. 또한 워라벨이 좋다.,사람,사내문화,positive
대기업에 비해 자유로운 분위기.. 비it기업 및 중소기업과 비교해서 확실히 배울 것이 많음 ..,분위기,분위기,positive
좋은 동료들이 사라져감 무능한 경영진과 패밀리 돌려막기,동료,사내문화,negative
근무시간을 유연하게 관리할 수 있어 워라벨이 야물딱진 것이 최고!,워라벨,업무,positive
자유롭고 의견을 잘 들어주는 사람들도 있다. 눈치볼 필요 없다,눈치,사내문화,positive
문화가 옛날만큼 아니다. 경영진이나 임원들 정신 차려야되는데 사람 안바뀐다,문화,사내문화,negative
워라벨 챙기면서 일할수있다,워라벨,업무,positive
일하는 문화가 수평적이라서 분위기나 그런것들이 좋다,문화,사내문화,positive
기업이 근본이 없음 메인 수익구조가 너무 약하고 돈도 적고,돈,급여,negative
업무량 대비 너무 낮은 급여,급여,급여,negative
그대신 일 더한만큼 그에 상당한 추가임금을 받는다,임금,급여,positive
회사 분위기 너무 자유롭고 개인의 의사를 존중해줌 꼰대가 없다 이게 젤 신기함,분위기,사내문화,positive
분위기가 수평적이고 재택시 장비 지원이 좋다 열정적인 사람들이 있다,분위기,사내문화,positive
동기부여가 강하게 된 동료를 찾기 힘듦,동료,사내문화,negative
"오래, 계속해서 성장할 수 있을지 의문",성장,커리어,negative
전통 대기업보다 뒤쳐졌던 복지제도가 점점 좋아지고 있음,복지,복지,positive
워라벨이 보장된다,워라벨,업무,positive
뛰어난 크루들과 함께 근무하며 성장할 수 있다,크루,사내문화,positive
동급의 타 기업에 비해 급여가 많이 짜다,급여,급여,negative
"처음에는 상향식 아이디어들이 많이 적용되고, 의견이나 의사결정이 꽤나 자유로운 회사였습니다. 영어호칭은 정말 연차 상관없이 수평적인 분위기를 만들어 줍니다",분위기,사내문화,positive
"핵심인재가 된다면 스톡을 받을텐데, 그게 꽤나 큰 금액입니다. 실제로 인센티브도 삼성 이상으로 받을수도 있습니다. ",금액,급여,positive
최근들어 현금성 복지(베네핏 카드360만원)이 늘어가는 추세입니다.,복지,복지,positive
수평적이고 자유로운 커뮤니케이션이 가능함,커뮤니케이션,사내문화,positive
일이 너어무 많다.. 프로젝트 끝나기 무섭게 다른 일감이 줄지어있어서 디테일을 챙기기 힘들 때가 있다.,일,업무,negative
훌륭하고 배울 점 많은 동료들 눈치주지 않는 사내 문화,동료,사내문화,positive
급여가 짜디짜서 염장되기 직전,급여,급여,negative
신입에게 친절하지 않은 업무 프로세스,업무,업무,negative
경영진 한마디에 손바닥 뒤집듯 바뀌는 플랜,경영진,사내문화,negative
신입기준 상당히 높은 급여,급여,급여,positive
워라벨은 케바케지만 대체적으로 괜찮앗음,워라벨,업무,positive
좋고 훌륭한 크루들과 같이 일하는게 좋고 대부분 친절하심,크루,사내문화,positive
워라벨만큼은 어떤 it보다 좋다고 보고 회사 분위기도 좋음,분위기,사내문화,positive
열심히 한 만큼 성장 가능성이 보장되는 것 같다. 같이 일하는 사람들이 좋다.,성장,커리어,positive
근무 강도가 꽤 강하다 물론 본인 하기 나름이다,근무,업무,negative
급여 동종 업계 대비 적고 경영진들에게 직원들의 불만이 꽤 많은편임,급여,급여,negative
워라밸이 보장되고 여러 가지로 변화 시도를 많이 하는 회사임,워라밸,업무,positive
"연봉이 타 회사 대비 비교적 적을 수 있음, 복지 역시 생애주기를 고려한 점이 적음",연봉,급여,negative
유연한 조직문화로 근무 환경이 좋고 복지 수준도 높은편,조직문화,사내문화,positive
비개발자 직군 상대적으로 성장이 제한적이며 열려 있지 않음,성장,커리어,negative
최고의 동료 눈치 안보는 문화,문화,사내문화,positive
워라밸이 보장된다는 것이 장점,워라밸,업무,positive
팀바팀이나 분위기도 좋음,분위기,사내문화,positive
개인의 발전이 힘듬 안주하기 쉬운 분위기가 있음....,발전,커리어,negative
어딜가나 부바부지만 대채로 조직이 젊고 워라밸이 매우 좋은 느낌..,워라밸,업무,positive
복지를 짜게 하려는 느낌 재택에 대해 회의적인 경영진의 시선,복지,복지,negative
유연근무제로 업무 시간을 스스로 지정하고 디벨롭 할수 있는 점,근무,복지,positive
합리적이고 훌륭한 동료가 많다,동료,사내문화,positive
워라밸은 그때그때 업무 강도나 스케줄에 따라 다르긴 하지만 주변 직장 동료들에 비해 손에 꼽히게 좋은 편이라고 생각함,워라밸,업무,positive
실력있는 사람들이 있어서 보고 배울게 있습니다.,사람,사내문화,positive
근무시간을 마음대로 정해서 쓸수있음 코로나라 재택근무,재택근무,업무,positive
타 대기업에 비해 연봉이 적은 편인듯 인상이 잘안됩니다.,연봉,급여,negative
근무시간을 자유롭게 할 수 있는 것이 좋다 근무 환경이 깨끗하다.,근무시간,복지,positive
반복적인 업무가 많은 점이 조금 아쉽다. 업무량이 조금 많다.,업무,업무,negative
실력있는 선배 동료들에게 많이 배울 수 있음,동료,사내문화,positive
연봉인상률이 낮다고 들음,연봉,급여,negative
연봉 경쟁력이 타사에 비해 높지는 않은 편,연봉,급여,negative
문화가 좋다 수평적 문화 하고 싶은 일 해볼 수 있는 기회,문화,사내문화,positive
급여가 짜다 인상좀 많이 해줬으면 좋겠다 천만원만 올려줘,급여,급여,negative
주도적으로 일 할 수 있다는 것. 재택근무 편리함...,재택근무,업무,positive
연장근무할 수밖에 없는 환경인데 막상 하면 눈치 주는 경우가 있음,눈치,사내문화,negative
"수평적인 문화, 자유로운 분위기 동료나 조직장 때문에 스트레스 받을 일이 없음",문화,사내문화,positive
너무 상호 존중하다보니 일의 진도 나가기가 쉽지 않음,존중,사내문화,negative
좋은 동료들과 열린 문화가 있습니다,동료,사내문화,positive
본인이 노력하면 성장할 수 있습니다,성장,커리어,positive
재택 할수 있는 인프라는 생각보다 괜찮고 당분간은 유지 같다,인프라,복지,positive
연봉이 짜고 인상률도 짬 이 부분이 매우 크리티컬합니다,연봉,급여,negative
무엇보다 빠르게 성장하고 네임벨류가 가장 큰 장점입니다,성장,커리어,positive
월급이 그렇게 높지는 않음,월급,급여,negative
"정규직, 계약직, 파견직, 어시스턴트, 인턴 복지를 차별화 하지 않는다.",복지,복지,positive
실력있는 동료들과 함께 일하며 성장할 수 있는 기회 수평적인 문화로 커뮤니케이션이 자유로운 편이다.,문화,사내문화,positive
다른 경쟁사들에 비해 급여가 낮은 편이라 박탈감이 많이 들때가 있음. 점점 더 좋아질거라는 희망을 가지고 살아가는중,급여,급여,negative
실제로 평등을 지향하는 문화가 정착해있는게 느껴진다. 분위기가 좋음,문화,사내문화,positive
많은 개발직군이 그렇겠지만 프로덕트 출시직전에 야근 많이하는듯,야근,업무,negative
"자율출퇴근제, 점점 좋아지는 복지, 탄탄한 회사인점이 좋다. 욕심을 버리면 몸이 편해지는 회사",복지,복지,positive
생각보다 역량 성장이 어렵고 윗분들에게 배울점이 없다. 기대와는 매우 다른 회사,성장,커리어,negative
연봉이나 인센은 다른 IT 회사들에 비하면 처참,연봉,급여,negative
직원 개인의 성장을 위한다는 명목으로 업무강도 셈. 패밀리 문화 존재하여 그들끼리만 성과 독식,업무,업무,negative
무늬는 자유로우나 구성원은 어딜가나 똑같다. 눈치 봐야함.,눈치,사내문화,negative
워라벨이 보장되지만 조직에 따라 눈치를 챙겨야 할 수 있음,눈치,사내문화,positive
"부서, 파트별 담당업무가 확실해서 업무 요청이 쉬움.",업무,업무,positive
꽤 괜찮은 복지 눈치 없는 연차사용 자유로운 출퇴근 시간,복지,복지,positive
적어도 같은 팀 내에서는 수평적인 분위기 대체로 원만한 동료 직원들,분위기,사내문화,positive
동종업계에 못 미치는 연봉,연봉,급여,negative
팀바팀이지만 비교적 좋은 워라밸,워라밸,업무,positive
스톡옵션 유무에 따른 상대적 박탈감,스톡,복지,negative
기대했던 거보다 낙후된 시스템과 이해할 수 없는 업무 진행방식.,업무,업무,negative
"직장 이미지 때문에 좋은 동료들이 지원 많이 함 연령층이 어리고, 경력직에게는 해볼 수 있는 일이 많은 회사.",동료,사내문화,positive
좋은 동료들이 하나둘 떠나기 시작함 경력직들이 모여서 상사 눈치 은근 봐야하는 회사 카카오스러움 문화을 주장하나 그게 뭔지 모르겠음,문화,사내문화,negative
카카오의 문화를 경험해 볼 수 있다. 닉네임 호칭을 사용하여 수평적인 분위기를 조성하고자 한다,분위기,사내문화,positive
적은 연봉...수평적인 문화를 지향하지만 닉네임만 부르는 수직 구조의 회사,문화,사내문화,negative
타 회사에 비해 짠 연봉과 인상률 아무리 잘해도 오르는 폭이 적은듯하다,연봉,급여,negative
주변 직원들과 수평적 커뮤니케이션,커뮤니케이션,사내문화,positive
"신입사원이 들어왔을 때, 자유로운 문화에 적응하기 어려울 수도 있음. 자신이 부족한 부분을 바로 물어볼 수 있는 공간/사람이 많이 없음",문화,사내문화,negative
수평조직이라면서 실상은 몹시 수직적이다 영어이름 왜쓰는지 모르겠다,수직,사내문화,negative
출퇴근이 자유로움 이번에 복지 베네핏 들어왔음 내가 있는 팀은 분위기 좋음,복지,복지,positive
재택이라 출근 시간이 자유롭지만 그만큼 야근이 잦다 성과에 대한 부담감이 있음,야근,업무,negative
워라밸이 보장된다. 대기업의 안정성. 코로나 시국에 재택근무 가능,워라밸,업무,positive
보상을 충분히 잘 해주지 않아서 사기가 많이 떨어진다.,보상,급여,negative
"배울것이 없다 성장하기 힘든 환경이고, 처우도 그닥..",성장,커리어,negative
주도적으로 일할수 있는 분위기가 조성된다,분위기,사내문화,positive
좋은 동료들이 많고 신입이 배우기 괜찮은 구조. 자율성이나 워라밸도 좋음,동료,사내문화,positive
최근 오르는 개발 연봉 대비 상대적으로 낮은 연봉 성과급,연봉,급여,negative
회사 성장에 도움되지 않아보이는 경영진. 도전적인 분위기는 아님.,분위기,사내문화,negative
돌봄휴가 사용으로 아이 케어가 가능,휴가,복지,positive
의외로 보고가 많고 서류작업이 많음. 의외로 일도 많고 워라밸 무너질때도 많음,워라밸,업무,negative
팀바팀이겠지만 동료들과의 관계나 팀 분위기가 정말 좋습니다.,분위기,사내문화,positive
팀마다 다르지만 적당히 스터디나 자기계발 하면서 다닐 수 있음,자기계발,커리어,positive
성과 보상이 별로 없어서 동기부여 안됨,보상,급여,negative
"출퇴근, 휴가 사용이 매우 자유롭다",휴가,복지,positive
아이가 있다면 돌봄휴가도 자유로이 쓸 수 있어 부담없음,휴가,복지,positive
고인물이많고 탑다운식 업무가 주를 이룸 시키는 일만 잘하면 상관 없음,업무,업무,negative
급여가 사람에 따라 다소 부족하다고 느껴질 수 있음,급여,급여,negative
"여자는 다니기 좋은회사(출산휴가,임신휴가 눈치안줌)",눈치,사내문화,positive
복지나 인센티브가 다른화사보다는 적은거같네요,복지,복지,negative
편한 복장으로 다닐 수 있다. 정장 안입고 다닐 수 있어서 좋다.,복장,사내문화,positive
워라밸 자유출퇴근 눈치 안 보고 쓰는 연차 같이 일하는 동료들이 그래도 둥글둥글한 편이다,눈치,사내문화,positive
일을 하는데에 있어서 출퇴근 시간을 알아서 자유롭게 정힐 수 있어요,출퇴근,복지,positive
일들이 너무 자유로워서 스스로 찾아서 성장해야 합니다.,성장,커리어,negative
사람들이 정말로 좋다고 느낌 팀바팀 부바부이긴 하지만 전반적으로 좋다,사람,사내문화,positive
생각보다 체계 없다고 느낄 때 있음 일이 많아서 힘들엇음,일,업무,negative
진급도 없고 성과보상체계도 제대로 되어 있지않아 열심히 일해야 하는 이유를 자아실현에서 찾아야하는 현실,보상,급여,negative
